Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity
Creative Blue Bricks,Classic,52.0,4.99,37.0,28.0,enkle
Creative Green Bricks,Classic,60.0,4.99,37.0,36.0,enkle
Fire Truck,DUPLO,6.0,6.99,3.0,6.0,enkle
Tow Truck,DUPLO,7.0,6.99,3.0,7.0,enkle
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,52.0,normale
White Baseplate,Classic,1.0,7.99,1.0,1.0,enkle
My First Tow Truck,DUPLO,11.0,9.99,10.0,10.0,enkle
Woody & RC,Disney,69.0,9.99,28.0,36.0,normale
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,41.0,normale
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,48.0,normale
Police Patrol Car,City,92.0,9.99,36.0,52.0,normale
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,65.0,enkle
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0,normale
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0,normale
My First Minnie Build,Disney,10.0,9.99,10.0,9.0,normale
Police Bike,DUPLO,8.0,9.99,10.0,7.0,enkle
Pizza Stand,DUPLO,18.0,9.99,12.0,15.0,enkle
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,35.0,normale
Barbecue Burn Out,City,64.0,9.99,28.0,45.0,normale
Monster Truck,City,55.0,9.99,32.0,34.0,normale
Jet Patrol,City,54.0,9.99,36.0,45.0,normale
Construction Loader,City,88.0,9.99,36.0,50.0,normale
Stunt Team,City,62.0,9.99,36.0,34.0,normale
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0,normale
Ice Cream Cart,Friends,97.0,9.99,40.0,60.0,normale
Puppy Playground,Friends,57.0,9.99,40.0,41.0,normale
Police Dog Unit,City,67.0,9.99,40.0,48.0,normale
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,44.0,normale
Street Sweeper,City,89.0,9.99,48.0,55.0,normale
Mail Plane,City,74.0,9.99,52.0,55.0,normale
Satellite Service Mission,City,84.0,9.99,56.0,52.0,normale
Forest Fire,City,84.0,9.99,56.0,49.0,normale
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0,normale
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,83.0,enkle
My First Race Car,DUPLO,6.0,4.99,9.0,6.0,enkle
Ocean Mini-Submarine,City,41.0,9.99,37.0,30.0,normale
Olivia's Flower Garden,Friends,92.0,9.99,48.0,61.0,normale
Aurora's Royal Carriage,Disney,62.0,9.99,28.0,35.0,normale
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0,normale
Moana's Ocean Adventure,Disney,46.0,9.99,36.0,39.0,normale
The Taiga Adventure,Minecraft,74.0,9.99,40.0,48.0,normale
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,40.0,normale
Thanos Mech,Marvel,152.0,9.99,56.0,62.0,normale
Iron Man Mech,Marvel,148.0,9.99,64.0,61.0,normale
Spider-Man Mech,Marvel,152.0,9.99,68.0,62.0,normale
Propeller Plane,Creator 3-in-1,128.0,9.99,112.0,50.0,avanserte
Sports Car,Creator 3-in-1,134.0,9.99,120.0,60.0,avanserte
Batboat The Penguin Pursuit!,Batman,54.0,9.99,44.0,41.0,normale
Bricks and Ideas,Classic,123.0,9.99,42.0,59.0,enkle
Mighty Micros: Scarlet Spider vs. Sandman,Marvel,89.0,9.99,7.0,49.0,normale
Farm Animals,DUPLO,16.0,9.99,8.0,13.0,enkle
My First Mickey Build,Disney,9.0,9.99,10.0,8.0,normale
Arctic Exploration Team,City,70.0,9.99,28.0,47.0,normale
BigFig Pig with Baby Zombie,Minecraft,159.0,14.99,40.0,47.0,normale
Dune Buggy,Creator 3-in-1,147.0,12.99,120.0,65.0,avanserte
BigFig Creeper and Ocelot,Minecraft,184.0,14.99,48.0,65.0,normale
Monster Truck,Creator 3-in-1,163.0,14.99,136.0,54.0,avanserte
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,50.0,normale
Olivia's Heart Box,Friends,85.0,7.99,32.0,38.0,normale
Buggy,Technic,117.0,12.99,48.0,47.0,avanserte
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0,normale
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0,normale
Futuristic Flyer,Creator 3-in-1,157.0,14.99,136.0,65.0,avanserte
Deep Sea Creatures,Creator 3-in-1,230.0,14.99,176.0,83.0,avanserte
Gamora,BrickHeadz,136.0,9.99,48.0,51.0,normale
Mini CLAAS XERION,Technic,130.0,12.99,56.0,45.0,avanserte
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0,normale
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,51.0,normale
