Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,Complexity,Ratio_Unique_Pieces,Ratio_Pages_Pieces,Theme_Complexity_Score,Combined_Score
Creative Blue Bricks,Classic,52.0,4.99,37.0,28.0,enkle,0.5384615384615384,0.7115384615384616,1,0.75
Creative Green Bricks,Classic,60.0,4.99,37.0,36.0,enkle,0.6,0.6166666666666667,1,0.7388888888888889
Fire Truck,DUPLO,6.0,6.99,3.0,6.0,enkle,1.0,0.5,1,0.8333333333333334
Tow Truck,DUPLO,7.0,6.99,3.0,7.0,enkle,1.0,0.42857142857142855,1,0.8095238095238096
Stephanie's Summer Heart Box,Friends,95.0,7.99,40.0,52.0,normale,0.5473684210526316,0.42105263157894735,2,0.9894736842105263
White Baseplate,Classic,1.0,7.99,1.0,1.0,enkle,1.0,1.0,1,1.0
My First Tow Truck,DUPLO,11.0,9.99,10.0,10.0,enkle,0.9090909090909091,0.9090909090909091,1,0.9393939393939394
Woody & RC,Disney,69.0,9.99,28.0,36.0,normale,0.5217391304347826,0.4057971014492754,2,0.9758454106280193
Mia's Summer Heart Box,Friends,85.0,7.99,36.0,41.0,normale,0.4823529411764706,0.4235294117647059,2,0.9686274509803922
Olivia's Summer Heart Box,Friends,93.0,7.99,40.0,48.0,normale,0.5161290322580645,0.43010752688172044,2,0.982078853046595
Police Patrol Car,City,92.0,9.99,36.0,52.0,normale,0.5652173913043478,0.391304347826087,2,0.9855072463768115
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,65.0,enkle,0.6435643564356436,0.5544554455445545,1,0.7326732673267328
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0,normale,0.6326530612244898,0.061224489795918366,2,0.8979591836734694
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0,normale,0.5957446808510638,0.06382978723404255,2,0.8865248226950354
My First Minnie Build,Disney,10.0,9.99,10.0,9.0,normale,0.9,1.0,2,1.3
Police Bike,DUPLO,8.0,9.99,10.0,7.0,enkle,0.875,1.25,1,1.0416666666666667
Pizza Stand,DUPLO,18.0,9.99,12.0,15.0,enkle,0.8333333333333334,0.6666666666666666,1,0.8333333333333334
Emma's Mobile Veterinary Clinic ,Friends,50.0,9.99,28.0,35.0,normale,0.7,0.56,2,1.0866666666666667
Barbecue Burn Out,City,64.0,9.99,28.0,45.0,normale,0.703125,0.4375,2,1.046875
Monster Truck,City,55.0,9.99,32.0,34.0,normale,0.6181818181818182,0.5818181818181818,2,1.0666666666666667
Jet Patrol,City,54.0,9.99,36.0,45.0,normale,0.8333333333333334,0.6666666666666666,2,1.1666666666666667
Construction Loader,City,88.0,9.99,36.0,50.0,normale,0.5681818181818182,0.4090909090909091,2,0.9924242424242425
Stunt Team,City,62.0,9.99,36.0,34.0,normale,0.5483870967741935,0.5806451612903226,2,1.043010752688172
